t,MV,PV,DV
1.514000000000000000e+03,1.433573277337193907e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.515000000000000000e+03,1.411721806721790351e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.516000000000000000e+03,1.433777965355038297e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.517000000000000000e+03,1.444945756368960410e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.518000000000000000e+03,1.423156926055212601e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.519000000000000000e+03,1.401253429943802686e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.520000000000000000e+03,1.423256904224721708e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.521000000000000000e+03,1.412360690305605893e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.522000000000000000e+03,1.386734135926882416e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.523000000000000000e+03,1.375647048380116999e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.524000000000000000e+03,1.401187926272717199e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.525000000000000000e+03,1.375506071169002276e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.526000000000000000e+03,1.364364727069624550e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.527000000000000000e+03,1.375177133257641060e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.528000000000000000e+03,1.386048855671184477e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.529000000000000000e+03,1.411654724081245682e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.530000000000000000e+03,1.375032819704451548e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.531000000000000000e+03,1.433601270008315076e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.532000000000000000e+03,1.422778126575894575e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.533000000000000000e+03,1.386219994604282491e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.534000000000000000e+03,1.375148696527015169e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.535000000000000000e+03,1.375025138664498492e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.536000000000000000e+03,1.411588128715941082e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.537000000000000000e+03,1.433672359405696461e+01,4.193999999999999773e+01,6.000000000000000000e+01
